,Id,Nome,Abreviacao,Slug,Apelido,Nome_Fantasia
0,1,OUT,OUT,,,Outros
1,1349,IPA,IPA,,,Ipatinga
2,1371,CUI,CUI,,,Cuiabá
3,1390,ICA,ICA,,,Icasa
4,2190,OES,OES,,,Oeste
5,2193,DUQ,DUQ,,,Duque de Caxias
6,2197,AME,AME,,,Americana
7,2305,MIR,MIR,mirassol,Mirassol,Mirassol
8,2554,PRU,PRU,,,Grêmio Prudente
9,2565,LUV,LUV,,,Luverdense
10,262,FLA,FLA,flamengo,Mengão,Flamengo
11,263,BOT,BOT,botafogo,Glorioso,Botafogo
12,264,COR,COR,corinthians,Timão,Corinthians
13,265,BAH,BAH,bahia,Tricolor de Aço,Bahia
14,266,FLU,FLU,fluminense,Tricolor,Fluminense
15,267,VAS,VAS,vasco,Gigante da Colina,Vasco
16,275,PAL,PAL,palmeiras,Verdão,Palmeiras
17,276,SAO,SAO,sao-paulo,Tricolor,São Paulo
18,277,SAN,SAN,santos,Peixe,Santos
19,278,POR,POR,,,Portuguesa
20,279,GUA,GUA,,,Guarani
21,280,RBB,RBB,bragantino,Massa Bruta,Bragantino
22,282,CAM,CAM,atletico-mg,Galo,Atlético-MG
23,283,CRU,CRU,cruzeiro,Raposa,Cruzeiro
24,284,GRE,GRE,gremio,Imortal,Grêmio
25,285,INT,INT,internacional,Colorado,Internacional
26,286,JUV,JUV,juventude,Papo,Juventude
27,287,VIT,VIT,vitoria,Vitória,Vitória
28,288,CRI,CRI,,,Criciúma
29,289,PAR,PAR,,,Paraná
30,290,GOI,GOI,,,Goiás
31,291,PAY,PAY,,,Paysandu
32,292,SPT,SPT,sport,Leão do Norte,Sport
33,293,CAP,CAP,,,Athlético-PR
34,294,CFC,CFC,,,Coritiba
35,296,BOT,BOT,,,Botafogo-SP
36,303,PON,PON,,,Ponte Preta
37,3057,BEC,BEC,,,Boa Esporte
38,306,SAN,SAN,,,Santo André
39,307,SBE,SBE,,,São Bento
40,309,BRA,BRA,,,Brasil de Pelotas
41,314,AVA,AVA,,,Avaí
42,315,CHA,CHA,,,Chapecoense
43,316,FIG,FIG,,,Figueirense
44,317,JEC,JEC,,,Joinville
45,319,LON,LON,,,Londrina
46,321,OPE,OPE,,,Operário-PR
47,327,AME,AME,,,América-MG
48,337,CON,CON,,,Confiança
49,340,CRB,CRB,,,CRB
50,341,CSA,CSA,,,CSA
51,342,ASA,ASA,,,ASA Arapiraca
52,343,NAU,NAU,,,Náutico
53,344,STC,STC,,,Santa Cruz
54,346,TRZ,TRZ,,,Treze
55,347,BOT,BOT,,,Botafogo-PB
56,349,CAM,CAM,,,Campinense
57,350,ABC,ABC,,,ABC
58,351,AME,AME,,,América-RN
59,354,CEA,CEA,ceara,Ceará,Ceará
60,356,FOR,FOR,fortaleza,Leão do Pici,Fortaleza
61,362,MOT,MOT,,,Moto Club
62,363,SAM,SAM,,,Sampaio Corrêa
63,364,REM,REM,,,Remo
64,373,ACG,ACG,,,Atlético-GO
65,375,VIL,VIL,,,Vila Nova
66,386,SAO,SAO,,,São Caetano
67,388,BRA,BRA,,,Brasiliense
