,mandante_id,visitante_id,rodada_id
0,262,285,1
1,267,277,1
2,275,263,1
3,276,292,1
4,280,354,1
5,283,2305,1
6,284,282,1
7,265,264,1
8,356,266,1
9,286,287,1
10,266,280,2
11,263,286,2
12,264,267,2
13,277,265,2
14,2305,356,2
15,282,276,2
16,285,283,2
17,287,262,2
18,354,284,2
19,292,275,2
20,266,277,3
21,267,292,3
22,275,264,3
23,276,283,3
24,280,263,3
25,282,287,3
26,284,262,3
27,265,2305,3
28,356,285,3
29,286,354,3
30,262,286,4
31,263,276,4
32,264,266,4
33,277,282,4
34,2305,284,4
35,283,265,4
36,285,275,4
37,287,356,4
38,354,267,4
39,292,280,4
40,266,287,5
41,267,262,5
42,264,292,5
43,276,277,5
44,280,283,5
45,282,263,5
46,284,285,5
47,265,354,5
48,356,275,5
49,286,2305,5
50,262,264,6
51,263,266,6
52,275,265,6
53,277,280,6
54,2305,282,6
55,283,267,6
56,285,286,6
57,287,284,6
58,354,276,6
59,292,356,6
60,266,292,7
61,267,275,7
62,264,285,7
63,276,356,7
64,280,2305,7
65,283,262,7
66,284,277,7
67,265,263,7
68,354,287,7
69,286,282,7
70,262,265,8
71,263,285,8
72,275,276,8
73,277,354,8
74,2305,264,8
75,282,266,8
76,284,280,8
77,287,267,8
78,356,286,8
79,292,283,8
80,262,263,9
81,267,356,9
82,264,277,9
83,276,284,9
84,280,275,9
85,283,282,9
86,285,2305,9
87,265,287,9
88,354,292,9
89,286,266,9
90,266,267,10
91,263,354,10
92,275,262,10
93,276,2305,10
94,280,286,10
95,282,264,10
96,284,265,10
97,287,277,10
98,356,283,10
99,292,285,10
100,262,356,11
101,267,280,11
102,264,287,11
103,277,263,11
104,2305,292,11
105,283,275,11
106,285,266,11
107,265,276,11
108,354,282,11
109,286,284,11
110,266,354,12
111,263,2305,12
112,275,286,12
113,276,267,12
114,280,265,12
115,282,285,12
116,284,264,12
117,287,283,12
118,356,277,12
119,292,262,12
120,262,276,13
121,267,263,13
122,264,280,13
123,277,275,13
124,2305,266,13
125,283,284,13
126,285,287,13
127,265,282,13
128,356,354,13
129,286,292,13
130,266,283,14
131,263,287,14
132,275,2305,14
133,277,262,14
134,280,276,14
135,282,292,14
136,284,356,14
137,265,285,14
138,354,264,14
139,286,267,14
140,262,266,15
141,267,284,15
142,275,282,15
143,276,264,15
144,2305,277,15
145,283,286,15
146,285,354,15
147,287,280,15
148,356,265,15
149,292,263,15
150,266,275,16
151,267,265,16
152,264,283,16
153,277,285,16
154,280,262,16
155,282,356,16
156,284,263,16
157,287,292,16
158,354,2305,16
159,286,276,16
160,262,282,17
161,263,264,17
162,275,284,17
163,276,266,17
164,2305,287,17
165,283,354,17
166,285,267,17
167,265,286,17
168,356,280,17
169,292,277,17
170,266,284,18
171,263,283,18
172,264,356,18
173,277,286,18
174,2305,267,18
175,282,280,18
176,285,276,18
177,287,275,18
178,354,262,18
179,292,265,18
180,262,2305,19
181,267,282,19
182,275,354,19
183,276,287,19
184,280,285,19
185,283,277,19
186,284,292,19
187,265,266,19
188,356,263,19
189,286,264,19
190,266,356,20
191,263,275,20
192,264,265,20
193,277,267,20
194,2305,283,20
195,282,284,20
196,285,262,20
197,287,286,20
198,354,280,20
199,292,276,20
200,262,287,21
201,267,264,21
202,275,292,21
203,276,282,21
204,280,266,21
205,283,285,21
206,284,354,21
207,265,277,21
208,356,2305,21
209,286,263,21
210,262,284,22
211,263,280,22
212,264,275,22
213,277,266,22
214,2305,265,22
215,283,276,22
216,285,356,22
217,287,282,22
218,354,286,22
219,292,267,22
220,266,264,23
221,267,354,23
222,275,285,23
223,276,263,23
224,280,292,23
225,282,277,23
226,284,2305,23
227,265,283,23
228,356,287,23
229,286,262,23
230,262,267,24
231,263,282,24
232,275,356,24
233,277,276,24
234,2305,286,24
235,283,280,24
236,285,284,24
237,287,266,24
238,354,265,24
239,292,264,24
240,266,263,25
241,267,283,25
242,264,262,25
243,276,354,25
244,280,277,25
245,282,2305,25
246,284,287,25
247,265,275,25
248,356,292,25
249,286,285,25
250,262,283,26
251,263,265,26
252,275,267,26
253,277,284,26
254,2305,280,26
255,282,286,26
256,285,264,26
257,287,354,26
258,356,276,26
259,292,266,26
260,266,282,27
261,267,287,27
262,264,2305,27
263,276,275,27
264,280,284,27
265,283,292,27
266,285,263,27
267,265,262,27
268,354,277,27
269,286,356,27
270,266,286,28
271,263,262,28
272,275,280,28
273,277,264,28
274,2305,285,28
275,282,283,28
276,284,276,28
277,287,265,28
278,356,267,28
279,292,354,28
280,262,275,29
281,267,266,29
282,264,282,29
283,277,287,29
284,2305,276,29
285,283,356,29
286,285,292,29
287,265,284,29
288,354,263,29
289,286,280,29
290,266,285,30
291,263,277,30
292,275,283,30
293,276,265,30
294,280,267,30
295,282,354,30
296,284,286,30
297,287,264,30
298,356,262,30
299,292,2305,30
300,262,292,31
301,267,276,31
302,264,284,31
303,277,356,31
304,2305,263,31
305,283,287,31
306,285,282,31
307,265,280,31
308,354,266,31
309,286,275,31
310,266,2305,32
311,263,267,32
312,275,277,32
313,276,262,32
314,280,264,32
315,282,265,32
316,284,283,32
317,287,285,32
318,354,356,32
319,292,286,32
320,262,277,33
321,267,286,33
322,264,354,33
323,276,280,33
324,2305,275,33
325,283,266,33
326,285,265,33
327,287,263,33
328,356,284,33
329,292,282,34
330,266,262,34
331,263,292,34
332,264,276,34
333,277,2305,34
334,280,287,34
335,282,275,34
336,284,267,34
337,265,356,34
338,354,285,34
339,286,283,34
340,262,280,35
341,263,284,35
342,275,266,35
343,276,286,35
344,2305,354,35
345,283,264,35
346,285,277,35
347,265,267,35
348,356,282,35
349,292,287,35
350,266,276,36
351,267,285,36
352,264,263,36
353,277,292,36
354,280,356,36
355,282,262,36
356,284,275,36
357,287,2305,36
358,354,283,36
359,286,265,36
360,262,354,37
361,267,2305,37
362,275,287,37
363,276,285,37
364,280,282,37
365,283,263,37
366,284,266,37
367,265,292,37
368,356,264,37
369,286,277,37
370,266,265,38
371,263,356,38
372,264,286,38
373,277,283,38
374,2305,262,38
375,282,267,38
376,285,280,38
377,287,276,38
378,354,275,38
379,292,284,38
